t,value
1574466506,351272960
1574466507,351272960
1574466508,351272960
1574466509,351272960
1574466510,351272960
1574466511,351272960
1574466512,351272960
1574466513,351272960
1574466514,351272960
1574466515,351272960
1574466516,351272960
1574466517,351272960
1574466518,351272960
1574466519,351272960
1574466520,351272960
1574466521,351272960
1574466522,351272960
1574466523,351272960
1574466524,351272960
1574466525,351272960
1574466526,351272960
1574466527,351272960
1574466528,351272960
1574466529,351272960
1574466530,351272960
1574466531,351272960
1574466532,351272960
1574466533,351272960
1574466534,351272960
1574466535,351272960
1574466536,351272960
1574466537,351272960
1574466538,351272960
1574466539,351272960
1574466540,351272960
1574466541,351272960
1574466542,351272960
1574466543,351272960
1574466544,351272960
1574466545,351272960
1574466546,351272960
1574466547,351272960
1574466548,351272960
1574466549,351272960
1574466550,351272960
1574466551,351272960
1574466552,351272960
1574466553,351272960
1574466554,351272960
1574466555,351272960
1574466556,351272960
1574466557,351272960
1574466558,351272960
1574466559,351272960
1574466560,351272960
1574466561,351272960
1574466562,351272960
1574466563,351272960
1574466564,351272960
1574466565,351272960
1574466566,351272960
1574466567,351272960
1574466568,351272960
1574466569,351272960
1574466570,351272960
1574466571,351272960
1574466572,351272960
1574466573,351272960
1574466574,351272960
1574466575,351272960
1574466576,351272960
1574466577,351272960
1574466578,351272960
1574466579,351272960
1574466580,351272960
1574466581,351272960
1574466582,351272960
1574466583,351272960
1574466584,351272960
1574466585,351272960
1574466586,351272960
1574466587,351272960
1574466588,351272960
1574466589,351272960
1574466590,351272960
1574466591,351272960
1574466592,351272960
1574466593,351272960
1574466594,351272960
1574466595,351272960
1574466596,351272960
1574466597,351272960
1574466598,351272960
1574466599,351272960
1574466600,351272960
1574466601,351272960
1574466602,351272960
1574466603,351272960
1574466604,351272960
1574466605,351272960
1574466606,351272960
1574466607,351272960
1574466608,351272960
1574466609,351272960
1574466610,351272960
1574466611,351272960
1574466612,351272960
1574466613,351272960
1574466614,351272960
1574466615,351272960
1574466616,351272960
1574466617,351272960
1574466618,351272960
1574466619,351272960
1574466620,351272960
1574466621,351272960
1574466622,351272960
1574466623,351272960
1574466624,351272960
1574466625,351272960
1574466626,351272960
1574466627,351272960
1574466628,1425539072
1574466629,1425539072
1574466630,1425539072
1574466631,1425539072
1574466632,1425539072
1574466633,1425539072
1574466634,1425539072
1574466635,1425539072
1574466636,1425539072
1574466637,1425539072
1574466638,2447376384
1574466639,2042626048
1574466640,2042626048
1574466641,2042626048
1574466642,2042626048
1574466643,2042626048
1574466644,2042626048
1574466645,2042626048
1574466646,2042626048
1574466647,2042626048
1574466648,2042626048
1574466649,2042626048
1574466650,2042626048
1574466651,2042626048
1574466652,2042626048
1574466653,2042626048
1574466654,2042626048
1574466655,2042626048
1574466656,2042626048
1574466657,2042626048
1574466658,2042626048
1574466659,2042626048
1574466660,2042626048
1574466661,2042626048
1574466662,2042626048
1574466663,2042626048
1574466664,2042626048
1574466665,2042626048
1574466666,2042626048
1574466667,2042626048
1574466668,2042626048
1574466669,2042626048
1574466670,2042626048
1574466671,2042626048
1574466672,2042626048
1574466673,2042626048
1574466674,2042626048
1574466675,2042626048
1574466676,2042626048
1574466677,2042626048
1574466678,2042626048
1574466679,2042626048
1574466680,2042626048
1574466681,2042626048
1574466682,2042626048
1574466683,2042626048
1574466684,2042626048
1574466685,2042626048
1574466686,2042626048
1574466687,2042626048
1574466688,2042626048
1574466689,2042626048
1574466690,2042626048
1574466691,2042626048
1574466692,2042626048
1574466693,2042626048
1574466694,2042626048
1574466695,2042626048
1574466696,2042626048
1574466697,2042626048
1574466698,2042626048
1574466699,2042626048
1574466700,2042626048
1574466701,2042626048
1574466702,2042626048
1574466703,2042626048
1574466704,2042626048
1574466705,2042626048
1574466706,2042626048
1574466707,2042626048
1574466708,2042626048
1574466709,2042626048
1574466710,2042626048
1574466711,2042626048
1574466712,2042626048
1574466713,2042626048
1574466714,2042626048
1574466715,2042626048
1574466716,2042626048
1574466717,2042626048
1574466718,2042626048
1574466719,2042626048
1574466720,2042626048
1574466721,2042626048
1574466722,2042626048
1574466723,2042626048
1574466724,2042626048
1574466725,2042626048
1574466726,2042626048
1574466727,2042626048
1574466728,2042626048
1574466729,2042626048
1574466730,2042626048
1574466731,2042626048
1574466732,2042626048
1574466733,2042626048
1574466734,2042626048
1574466735,2042626048
1574466736,2042626048
1574466737,2042626048
1574466738,2042626048
1574466739,2042626048
1574466740,2042626048
1574466741,2042626048
1574466742,2042626048
1574466743,2042626048
1574466744,2042626048
1574466745,2042626048
1574466746,2042626048
1574466747,2042626048
1574466748,2042626048
1574466749,2042626048
1574466750,2042626048
1574466751,2042626048
1574466752,2042626048
1574466753,2042626048
1574466754,2042626048
1574466755,2042626048
1574466756,2042626048
1574466757,2042626048
1574466758,2042626048
1574466759,2042626048
1574466760,2042626048
1574466761,2042626048
1574466762,2042626048
1574466763,2042626048
1574466764,2042626048
1574466765,2042626048
1574466766,2042626048
1574466767,2042626048
1574466768,2042626048
1574466769,2042626048
1574466770,2042626048
1574466771,2042626048
1574466772,2042626048
1574466773,2042626048
1574466774,2042626048
1574466775,2042626048
1574466776,2042626048
1574466777,2042626048
1574466778,2042626048
1574466779,2042626048
1574466780,2042626048
1574466781,2042626048
1574466782,2042626048
1574466783,2042626048
1574466784,2042626048
1574466785,2042626048
1574466786,2042626048
1574466787,2042626048
1574466788,2042626048
1574466789,2042626048
1574466790,2042626048
1574466791,2042626048
1574466792,2042626048
1574466793,2042626048
1574466794,2042626048
1574466795,2042626048
1574466796,2042626048
1574466797,2042626048
1574466798,2042626048
1574466799,2042626048
1574466800,2042626048
1574466801,2042626048
1574466802,2042626048
1574466803,2042626048
1574466804,2042626048
1574466805,2042626048
1574466806,2042626048
1574466807,2042626048
1574466808,2042626048
1574466809,2042626048
1574466810,2042626048
1574466811,2042626048
1574466812,2042626048
1574466813,2042626048
1574466814,2042626048
1574466815,2042626048
1574466816,2042626048
1574466817,2042626048
1574466818,2042626048
1574466819,2042626048
1574466820,2042626048
1574466821,2042626048
1574466822,2042626048
1574466823,2042626048
1574466824,2042626048
1574466825,2042626048
1574466826,2042626048
1574466827,2042626048
1574466828,2042626048
1574466829,2042626048
1574466830,2042626048
1574466831,2042626048
1574466832,2042626048
1574466833,2042626048
1574466834,2042626048
1574466835,2042626048
1574466836,2042626048
1574466837,2042626048
1574466838,2042626048
1574466839,2042626048
1574466840,2042626048
1574466841,2042626048
1574466842,2042626048
1574466843,2042626048
1574466844,2042626048
1574466845,2042626048
1574466846,2042626048
1574466847,2042626048
1574466848,2042626048
1574466849,2042626048
1574466850,2042626048
1574466851,2042626048
1574466852,2042626048
1574466853,2042626048
1574466854,2042626048
1574466855,2042626048
1574466856,2042626048
1574466857,2042626048
1574466858,2042626048
1574466859,2042626048
1574466860,2042626048
1574466861,2042626048
1574466862,2042626048
1574466863,2042626048
1574466864,2042626048
1574466865,2042626048
1574466866,2042626048
1574466867,2042626048
1574466868,2042626048
1574466869,2042626048
1574466870,2042626048
1574466871,2042626048
1574466872,2042626048
1574466873,2042626048
1574466874,2042626048
1574466875,2042626048
1574466876,2042626048
1574466877,2042626048
1574466878,2042626048
1574466879,2042626048
1574466880,2042626048
1574466881,2042626048
1574466882,2042626048
1574466883,2042626048
1574466884,2042626048
1574466885,2042626048
1574466886,2042626048
1574466887,2042626048
1574466888,2042626048
1574466889,2042626048
1574466890,2042626048
1574466891,2042626048
1574466892,2042626048
1574466893,2042626048
1574466894,2042626048
1574466895,2042626048
1574466896,2042626048
1574466897,2042626048
1574466898,2042626048
1574466899,2042626048
1574466900,2042626048
1574466901,2042626048
1574466902,2042626048
1574466903,2042626048
1574466904,2042626048
1574466905,2042626048
1574466906,2042626048
1574466907,2042626048
1574466908,2042626048
1574466909,2042626048
1574466910,2042626048
1574466911,2042626048
1574466912,2042626048
1574466913,2042626048
1574466914,2042626048
1574466915,2042626048
1574466916,2042626048
1574466917,2042626048
1574466918,2042626048
1574466919,2042626048
1574466920,2042626048
1574466921,2042626048
1574466922,2042626048
1574466923,2042626048
1574466924,2042626048
1574466925,2042626048
1574466926,2042626048
1574466927,2042626048
1574466928,2042626048
1574466929,2042626048
1574466930,2042626048
1574466931,2042626048
1574466932,2042626048
1574466933,2042626048
1574466934,2042626048
1574466935,2042626048
1574466936,2042626048
1574466937,2042626048
1574466938,2042626048
1574466939,2042626048
1574466940,2042626048
1574466941,2042626048
1574466942,2042626048
1574466943,2042626048
1574466944,2042626048
1574466945,2042626048
1574466946,2042626048
1574466947,2042626048
1574466948,2042626048
1574466949,2042626048
1574466950,2042626048
1574466951,2042626048
1574466952,2042626048
1574466953,2042626048
1574466954,2042626048
1574466955,2042626048
1574466956,2042626048
1574466957,2042626048
1574466958,2042626048
1574466959,2042626048
1574466960,2042626048
1574466961,2042626048
1574466962,2042626048
1574466963,2042626048
1574466964,2042626048
1574466965,2042626048
1574466966,2042626048
1574466967,2042626048
1574466968,2042626048
1574466969,2042626048
1574466970,2042626048
1574466971,2042626048
1574466972,2042626048
1574466973,2042626048
1574466974,2042626048
1574466975,2042626048
1574466976,2042626048
1574466977,2042626048
1574466978,2042626048
1574466979,2042626048
1574466980,2042626048
1574466981,2042626048
1574466982,2042626048
1574466983,2042626048
1574466984,2042626048
1574466985,2042626048
1574466986,2042626048
1574466987,2042626048
1574466988,2042626048
1574466989,2042626048
1574466990,2042626048
1574466991,2042626048
1574466992,2042626048
1574466993,2042626048
1574466994,2042626048
1574466995,2042626048
1574466996,2042626048
1574466997,2042626048
1574466998,2042626048
1574466999,2042626048
1574467000,2042626048
1574467001,2042626048
1574467002,2042626048
1574467003,2042626048
1574467004,2042626048
1574467005,2042626048
1574467006,2042626048
1574467007,2042626048
1574467008,2042626048
1574467009,2042626048
1574467010,2042626048
1574467011,2042626048
1574467012,2042626048
1574467013,2042626048
1574467014,2042626048
1574467015,2042626048
1574467016,2042626048
1574467017,2042626048
1574467018,2042626048
1574467019,2042626048
1574467020,2042626048
1574467021,2042626048
1574467022,2042626048
1574467023,2042626048
1574467024,2042626048
1574467025,2042626048
1574467026,2042626048
1574467027,2042626048
1574467028,2042626048
1574467029,2042626048
1574467030,2042626048
1574467031,2042626048
1574467032,2042626048
1574467033,2042626048
1574467034,2042626048
1574467035,2042626048
1574467036,2042626048
1574467037,2042626048
1574467038,2042626048
1574467039,2042626048
1574467040,2042626048
1574467041,2042626048
1574467042,2042626048
1574467043,2042626048
1574467044,2042626048
1574467045,2042626048
1574467046,2042626048
1574467047,2042626048
1574467048,2042626048
1574467049,2042626048
1574467050,2042626048
1574467051,2042626048
1574467052,2042626048
1574467053,2042626048
1574467054,2042626048
1574467055,2042626048
1574467056,2042626048
1574467057,2042626048
1574467058,2042626048
1574467059,2042626048
1574467060,2042626048
1574467061,2042626048
1574467062,2042626048
1574467063,2042626048
1574467064,2042626048
1574467065,2042626048
1574467066,2042626048
1574467067,2042626048
1574467068,2042626048
1574467069,2042626048
1574467070,2042626048
1574467071,2042626048
1574467072,2042626048
1574467073,2042626048
1574467074,2042626048
1574467075,2042626048
1574467076,2042626048
1574467077,2042626048
1574467078,2042626048
1574467079,2042626048
1574467080,2042626048
1574467081,2042626048
1574467082,2042626048
1574467083,2042626048
1574467084,2042626048
1574467085,2042626048
1574467086,2042626048
1574467087,2042626048
1574467088,2042626048
1574467089,2042626048
1574467090,2042626048
1574467091,2042626048
1574467092,2042626048
1574467093,2042626048
1574467094,2042626048
1574467095,2042626048
1574467096,2042626048
1574467097,2042626048
1574467098,2042626048
1574467099,2042626048
1574467100,2042626048
1574467101,2042626048
1574467102,2042626048
1574467103,2042626048
1574467104,2042626048
1574467105,2042626048
1574467106,2042626048
1574467107,2042626048
1574467108,2042626048
1574467109,2042626048
1574467110,2042626048
1574467111,2042626048
1574467112,2042626048
1574467113,2042626048
1574467114,2042626048
1574467115,2042626048
1574467116,2042626048
1574467117,2042626048
1574467118,2042626048
1574467119,2042626048
1574467120,2042626048
1574467121,2042626048
1574467122,2042626048
1574467123,2042626048
1574467124,2042626048
1574467125,2042626048
1574467126,2042626048
1574467127,2042626048
1574467128,2042626048
1574467129,2042626048
1574467130,2042626048
1574467131,2042626048
1574467132,2042626048
1574467133,2042626048
1574467134,2042626048
1574467135,2042626048
1574467136,2042626048
1574467137,2042626048
1574467138,2042626048
1574467139,2042626048
1574467140,2042626048
1574467141,2042626048
1574467142,2042626048
1574467143,2042626048
1574467144,2042626048
1574467145,2042626048
1574467146,2042626048
1574467147,2042626048
1574467148,2042626048
1574467149,2042626048
1574467150,2042626048
1574467151,2042626048
1574467152,2042626048
1574467153,2042626048
1574467154,2042626048
1574467155,2042626048
1574467156,2042626048
1574467157,2042626048
1574467158,2042626048
1574467159,2042626048
1574467160,2042626048
1574467161,2042626048
1574467162,2042626048
1574467163,2042626048
1574467164,2042626048
1574467165,2042626048
1574467166,2042626048
1574467167,2042626048
1574467168,2042626048
1574467169,2042626048
1574467170,2042626048
1574467171,2042626048
1574467172,2042626048
1574467173,2042626048
1574467174,2042626048
1574467175,2042626048
1574467176,2042626048
1574467177,2042626048
1574467178,2042626048
1574467179,2042626048
1574467180,2042626048
1574467181,2042626048
1574467182,2042626048
1574467183,2042626048
1574467184,2042626048
1574467185,2042626048
1574467186,2042626048
1574467187,2042626048
1574467188,2042626048
1574467189,2042626048
1574467190,2042626048
1574467191,2042626048
1574467192,2042626048
1574467193,2042626048
1574467194,2042626048
1574467195,2042626048
1574467196,2042626048
1574467197,2042626048
1574467198,2042626048
1574467199,2042626048
1574467200,2042626048
1574467201,2042626048
1574467202,2042626048
1574467203,2042626048
1574467204,2042626048
1574467205,2042626048
1574467206,2042626048
1574467207,2042626048
1574467208,2042626048
1574467209,2042626048
1574467210,2042626048
1574467211,2042626048
1574467212,2042626048
1574467213,2042626048
1574467214,2042626048
1574467215,2042626048
1574467216,2042626048
1574467217,2042626048
1574467218,2042626048
1574467219,2042626048
1574467220,2042626048
1574467221,2042626048
1574467222,2042626048
1574467223,2042626048
1574467224,2042626048
1574467225,2042626048
1574467226,2042626048
1574467227,2042626048
1574467228,2042626048
1574467229,2042626048
1574467230,2042626048
1574467231,2042626048
1574467232,2042626048
1574467233,2042626048
1574467234,2042626048
1574467235,2042626048
1574467236,2042626048
1574467237,2042626048
1574467238,2042626048
1574467239,2042626048
1574467240,2042626048
1574467241,2042626048
1574467242,2042626048
1574467243,2042626048
1574467244,2042626048
1574467245,2042626048
1574467246,2042626048
1574467247,2042626048
1574467248,2042626048
1574467249,2042626048
1574467250,2042626048
1574467251,2042626048
1574467252,2042626048
1574467253,2042626048
1574467254,2042626048
1574467255,2042626048
1574467256,2042626048
1574467257,2042626048
