t,value
1574467855,351272960
1574467856,351272960
1574467857,351272960
1574467858,351272960
1574467859,351272960
1574467860,351272960
1574467861,351272960
1574467862,351272960
1574467863,351272960
1574467864,351272960
1574467865,351272960
1574467866,351272960
1574467867,351272960
1574467868,1425539072
1574467869,1425539072
1574467870,1425539072
1574467871,1425539072
1574467872,1425539072
1574467873,1425539072
1574467874,1425539072
1574467875,1425539072
1574467876,1425539072
1574467877,1425539072
1574467878,1425539072
1574467879,1425539072
1574467880,2332557312
1574467881,2332557312
1574467882,2332557312
1574467883,2332557312
1574467884,2332557312
1574467885,2332557312
1574467886,2332557312
1574467887,2332557312
1574467888,2332557312
1574467889,2332557312
1574467890,2332557312
1574467891,2332557312
1574467892,2332557312
1574467893,2332557312
1574467894,2332557312
1574467895,2332557312
1574467896,2332557312
1574467897,2332557312
1574467898,2332557312
1574467899,2332557312
1574467900,2332557312
1574467901,2332557312
1574467902,2332557312
1574467903,2332557312
1574467904,2332557312
1574467905,2332557312
1574467906,2332557312
1574467907,2332557312
1574467908,2332557312
1574467909,2332557312
1574467910,2332557312
1574467911,2332557312
1574467912,2332557312
1574467913,2332557312
1574467914,2332557312
1574467915,2332557312
1574467916,2332557312
1574467917,2332557312
1574467918,2332557312
1574467919,2332557312
1574467920,2332557312
1574467921,2332557312
1574467922,2332557312
1574467923,2332557312
1574467924,2332557312
1574467925,2332557312
1574467926,2332557312
1574467927,2332557312
1574467928,2332557312
1574467929,2332557312
1574467930,2332557312
1574467931,2332557312
1574467932,2332557312
1574467933,2332557312
1574467934,2332557312
1574467935,2332557312
1574467936,2332557312
1574467937,2332557312
1574467938,2332557312
1574467939,1746403328
1574467940,1746403328
1574467941,1746403328
1574467942,1746403328
1574467943,1746403328
1574467944,1746403328
1574467945,1746403328
1574467946,1746403328
1574467947,1746403328
1574467948,1746403328
1574467949,1746403328
1574467950,1746403328
1574467951,1746403328
1574467952,1746403328
1574467953,1746403328
1574467954,1746403328
1574467955,1746403328
1574467956,1746403328
1574467957,1746403328
1574467958,1746403328
1574467959,1746403328
1574467960,1746403328
1574467961,1746403328
1574467962,1746403328
1574467963,1746403328
1574467964,1746403328
1574467965,1746403328
1574467966,1746403328
1574467967,1746403328
1574467968,1746403328
1574467969,1746403328
1574467970,1746403328
1574467971,1746403328
1574467972,1746403328
1574467973,1746403328
1574467974,1746403328
1574467975,1746403328
1574467976,1746403328
1574467977,1746403328
