t,value
1574466507,1073741824
1574466508,1073741824
1574466509,1073741824
1574466510,1073741824
1574466511,1073741824
1574466512,1073741824
1574466513,1073741824
1574466514,1073741824
1574466515,1073741824
1574466516,1073741824
1574466517,1073741824
1574466518,1073741824
1574466519,1073741824
1574466520,1073741824
1574466521,1073741824
1574466522,1073741824
1574466523,1073741824
1574466524,1073741824
1574466525,1073741824
1574466526,1073741824
1574466527,1073741824
1574466528,1073741824
1574466529,1073741824
1574466530,1073741824
1574466531,1073741824
1574466532,1073741824
1574466533,1073741824
1574466534,1073741824
1574466535,1073741824
1574466536,1073741824
1574466537,1073741824
1574466538,1073741824
1574466539,1073741824
1574466540,1073741824
1574466541,1073741824
1574466542,1073741824
1574466543,1073741824
1574466544,1073741824
1574466545,1073741824
1574466546,1073741824
1574466547,1073741824
1574466548,1073741824
1574466549,1073741824
1574466550,1073741824
1574466551,1073741824
1574466552,1073741824
1574466553,1073741824
1574466554,1073741824
1574466555,1073741824
1574466556,1073741824
1574466557,1073741824
1574466558,1073741824
1574466559,1073741824
1574466560,1073741824
1574466561,1073741824
1574466562,1073741824
1574466563,1073741824
1574466564,1073741824
1574466565,1073741824
1574466566,1073741824
1574466567,1073741824
1574466568,1073741824
1574466569,1073741824
1574466570,1073741824
1574466571,1073741824
1574466572,1073741824
1574466573,1073741824
1574466574,1073741824
1574466575,1073741824
1574466576,1073741824
1574466577,1073741824
1574466578,1073741824
1574466579,1073741824
1574466580,1073741824
1574466581,1073741824
1574466582,1073741824
1574466583,1073741824
1574466584,1073741824
1574466585,1073741824
1574466586,1073741824
1574466587,1073741824
1574466588,1073741824
1574466589,1073741824
1574466590,1073741824
1574466591,1073741824
1574466592,1073741824
1574466593,1073741824
1574466594,1073741824
1574466595,1073741824
1574466596,1073741824
1574466597,1073741824
1574466598,1073741824
1574466599,1073741824
1574466600,1073741824
1574466601,1073741824
1574466602,1073741824
1574466603,1073741824
1574466604,1073741824
1574466605,1073741824
1574466606,1073741824
1574466607,1073741824
1574466608,1073741824
1574466609,1073741824
1574466610,1073741824
1574466611,1073741824
1574466612,1073741824
1574466613,1073741824
1574466614,1073741824
1574466615,1073741824
1574466616,1073741824
1574466617,1073741824
1574466618,1073741824
1574466619,1073741824
1574466620,1073741824
1574466621,1073741824
1574466622,1073741824
1574466623,1073741824
1574466624,1073741824
1574466625,1073741824
1574466626,1073741824
1574466627,1073741824
1574466628,1073741824
1574466629,1073741824
1574466630,1073741824
1574466631,1073741824
1574466632,1073741824
1574466633,1073741824
1574466634,1073741824
1574466635,1073741824
1574466636,1073741824
1574466637,1073741824
1574466638,1073741824
1574466639,1073741824
1574466640,1073741824
1574466641,1073741824
1574466642,1073741824
1574466643,1073741824
1574466644,1073741824
1574466645,1073741824
1574466646,1073741824
1574466647,1073741824
1574466648,1073741824
1574466649,1073741824
1574466650,1073741824
1574466651,1073741824
1574466652,1073741824
1574466653,1073741824
1574466654,1073741824
1574466655,1073741824
1574466656,1073741824
1574466657,1073741824
1574466658,1073741824
1574466659,1073741824
1574466660,1073741824
1574466661,1073741824
1574466662,1073741824
1574466663,1073741824
1574466664,1073741824
1574466665,1073741824
1574466666,1073741824
