t,value
1574455529,351272960
1574455530,351272960
1574455531,351272960
1574455532,351272960
1574455533,351272960
1574455534,351272960
1574455535,351272960
1574455536,351272960
1574455537,351272960
1574455538,351272960
1574455539,351272960
1574455540,351272960
1574455541,351272960
1574455542,351272960
1574455543,351272960
1574455544,351272960
1574455545,351272960
1574455546,351272960
1574455547,351272960
1574455548,351272960
1574455549,351272960
1574455550,351272960
1574455551,351272960
1574455552,351272960
1574455553,351272960
1574455554,351272960
1574455555,351272960
1574455556,351272960
1574455557,351272960
1574455558,351272960
1574455559,351272960
1574455560,351272960
1574455561,351272960
1574455562,351272960
1574455563,351272960
1574455564,351272960
1574455565,351272960
1574455566,351272960
1574455567,351272960
1574455568,351272960
1574455569,351272960
1574455570,351272960
1574455571,351272960
1574455572,351272960
1574455573,351272960
1574455574,351272960
1574455575,351272960
1574455576,351272960
1574455577,351272960
1574455578,351272960
1574455579,351272960
1574455580,351272960
1574455581,351272960
1574455582,351272960
1574455583,351272960
1574455584,351272960
1574455585,351272960
1574455586,351272960
1574455587,351272960
1574455588,351272960
1574455589,351272960
1574455590,351272960
1574455591,351272960
1574455592,351272960
1574455593,351272960
1574455594,351272960
1574455595,351272960
1574455596,351272960
1574455597,351272960
1574455598,351272960
1574455599,351272960
1574455600,351272960
1574455601,351272960
1574455602,351272960
1574455603,351272960
1574455604,351272960
1574455605,351272960
1574455606,351272960
1574455607,351272960
1574455608,351272960
1574455609,351272960
1574455610,351272960
1574455611,351272960
1574455612,351272960
1574455613,351272960
1574455614,351272960
1574455615,351272960
1574455616,351272960
1574455617,351272960
1574455618,351272960
1574455619,351272960
1574455620,351272960
1574455621,351272960
1574455622,351272960
1574455623,351272960
1574455624,351272960
1574455625,351272960
1574455626,351272960
1574455627,351272960
1574455628,351272960
1574455629,351272960
1574455630,351272960
1574455631,351272960
1574455632,351272960
1574455633,351272960
1574455634,351272960
1574455635,351272960
1574455636,351272960
1574455637,351272960
1574455638,351272960
1574455639,351272960
1574455640,351272960
1574455641,351272960
1574455642,351272960
1574455643,351272960
1574455644,351272960
1574455645,351272960
1574455646,351272960
1574455647,351272960
1574455648,351272960
1574455649,351272960
1574455650,351272960
1574455651,351272960
1574455652,351272960
1574455653,351272960
1574455654,351272960
1574455655,351272960
1574455656,351272960
1574455657,351272960
1574455658,351272960
1574455659,351272960
1574455660,351272960
1574455661,351272960
1574455662,351272960
1574455663,351272960
1574455664,351272960
1574455665,351272960
1574455666,351272960
1574455667,351272960
1574455668,351272960
1574455669,351272960
1574455670,351272960
1574455671,351272960
1574455672,351272960
1574455673,351272960
1574455674,351272960
1574455675,351272960
1574455676,351272960
1574455677,351272960
1574455678,351272960
1574455679,351272960
1574455680,351272960
1574455681,351272960
1574455682,351272960
1574455683,351272960
1574455684,351272960
1574455685,351272960
1574455686,351272960
1574455687,351272960
1574455688,351272960
1574455689,351272960
1574455690,351272960
1574455691,351272960
1574455692,351272960
1574455693,351272960
1574455694,351272960
1574455695,351272960
1574455696,351272960
1574455697,351272960
1574455698,351272960
1574455699,351272960
1574455700,351272960
1574455701,351272960
1574455702,351272960
1574455703,351272960
1574455704,351272960
1574455705,351272960
1574455706,351272960
1574455707,351272960
1574455708,351272960
1574455709,351272960
1574455710,351272960
1574455711,351272960
1574455712,351272960
1574455713,351272960
1574455714,351272960
1574455715,351272960
1574455716,351272960
1574455717,351272960
1574455718,351272960
1574455719,351272960
1574455720,351272960
1574455721,351272960
1574455722,351272960
1574455723,351272960
1574455724,351272960
1574455725,351272960
1574455726,351272960
1574455727,351272960
1574455728,351272960
1574455729,351272960
1574455730,351272960
1574455731,351272960
1574455732,351272960
1574455733,351272960
1574455734,351272960
1574455735,351272960
1574455736,351272960
1574455737,351272960
1574455738,351272960
1574455739,351272960
1574455740,351272960
1574455741,351272960
1574455742,351272960
1574455743,351272960
1574455744,351272960
1574455745,351272960
1574455746,351272960
1574455747,351272960
1574455748,351272960
1574455749,351272960
1574455750,351272960
1574455751,351272960
1574455752,351272960
1574455753,351272960
1574455754,351272960
1574455755,351272960
1574455756,351272960
1574455757,351272960
1574455758,351272960
1574455759,351272960
1574455760,351272960
1574455761,351272960
1574455762,351272960
