t,value
1574467857,504889344
1574467858,504889344
1574467859,504889344
1574467860,504889344
1574467861,504889344
1574467862,504889344
1574467863,504889344
1574467864,504889344
1574467865,504889344
1574467866,504889344
1574467867,504889344
1574467868,504889344
1574467869,504889344
1574467870,504889344
1574467871,504889344
1574467872,504889344
1574467873,504889344
1574467874,504889344
1574467875,504889344
1574467876,504889344
1574467877,504889344
1574467878,504889344
1574467879,504889344
1574467880,504889344
1574467881,504889344
1574467882,504889344
1574467883,504889344
1574467884,504889344
1574467885,504889344
1574467886,504889344
1574467887,504889344
1574467888,504889344
1574467889,504889344
1574467890,504889344
1574467891,504889344
1574467892,504889344
1574467893,504889344
1574467894,504889344
1574467895,504889344
1574467896,504889344
1574467897,504889344
1574467898,504889344
1574467899,504889344
1574467900,504889344
1574467901,504889344
1574467902,504889344
1574467903,504889344
1574467904,504889344
1574467905,504889344
1574467906,504889344
1574467907,504889344
1574467908,504889344
1574467909,504889344
1574467910,504889344
1574467911,504889344
1574467912,504889344
1574467913,504889344
1574467914,504889344
1574467915,504889344
1574467916,504889344
1574467917,504889344
1574467918,504889344
1574467919,504889344
1574467920,504889344
1574467921,504889344
1574467922,504889344
1574467923,504889344
1574467924,504889344
1574467925,504889344
1574467926,504889344
1574467927,504889344
1574467928,504889344
1574467929,504889344
1574467930,504889344
1574467931,504889344
1574467932,504889344
1574467933,504889344
1574467934,504889344
1574467935,504889344
1574467936,504889344
1574467937,504889344
1574467938,504889344
1574467939,504889344
1574467940,504889344
1574467941,504889344
1574467942,504889344
1574467943,504889344
1574467944,504889344
1574467945,504889344
1574467946,504889344
1574467947,504889344
1574467948,504889344
1574467949,504889344
1574467950,504889344
1574467951,504889344
1574467952,504889344
1574467953,504889344
1574467954,504889344
1574467955,504889344
1574467956,504889344
1574467957,504889344
1574467958,504889344
1574467959,504889344
1574467960,504889344
1574467961,504889344
1574467962,504889344
1574467963,504889344
1574467964,504889344
1574467965,504889344
1574467966,504889344
1574467967,504889344
1574467968,504889344
1574467969,504889344
1574467970,504889344
1574467971,504889344
1574467972,504889344
1574467973,504889344
1574467974,504889344
1574467975,504889344
1574467976,504889344
1574467977,504889344
1574467978,504889344
1574467979,504889344
1574467980,504889344
1574467981,504889344
1574467982,504889344
1574467983,504889344
1574467984,504889344
1574467985,504889344
1574467986,504889344
1574467987,504889344
1574467988,504889344
1574467989,504889344
1574467990,504889344
1574467991,504889344
1574467992,504889344
1574467993,504889344
1574467994,504889344
1574467995,504889344
1574467996,504889344
1574467997,504889344
1574467998,504889344
1574467999,504889344
1574468000,504889344
1574468001,504889344
1574468002,504889344
1574468003,504889344
1574468004,504889344
1574468005,504889344
1574468006,504889344
1574468007,504889344
1574468008,504889344
1574468009,504889344
1574468010,504889344
1574468011,504889344
1574468012,504889344
1574468013,504889344
1574468014,504889344
1574468015,504889344
1574468016,504889344
1574468017,504889344
1574468018,504889344
1574468019,504889344
1574468020,504889344
1574468021,504889344
1574468022,504889344
1574468023,504889344
