t,value
1574467857,351272960
1574467858,351272960
1574467859,351272960
1574467860,351272960
1574467861,351272960
1574467862,351272960
1574467863,351272960
1574467864,351272960
1574467865,351272960
1574467866,351272960
1574467867,351272960
1574467868,351272960
1574467869,351272960
1574467870,351272960
1574467871,351272960
1574467872,351272960
1574467873,351272960
1574467874,351272960
1574467875,351272960
1574467876,351272960
1574467877,351272960
1574467878,351272960
1574467879,351272960
1574467880,351272960
1574467881,351272960
1574467882,351272960
1574467883,351272960
1574467884,351272960
1574467885,351272960
1574467886,351272960
1574467887,351272960
1574467888,351272960
1574467889,351272960
1574467890,351272960
1574467891,351272960
1574467892,351272960
1574467893,351272960
1574467894,351272960
1574467895,351272960
1574467896,351272960
1574467897,351272960
1574467898,351272960
1574467899,351272960
1574467900,351272960
1574467901,351272960
1574467902,351272960
1574467903,351272960
1574467904,351272960
1574467905,351272960
1574467906,351272960
1574467907,351272960
1574467908,351272960
1574467909,351272960
1574467910,351272960
1574467911,351272960
1574467912,351272960
1574467913,351272960
1574467914,351272960
1574467915,351272960
1574467916,351272960
1574467917,351272960
1574467918,351272960
1574467919,351272960
1574467920,351272960
1574467921,351272960
1574467922,351272960
1574467923,351272960
1574467924,351272960
1574467925,351272960
1574467926,351272960
1574467927,351272960
1574467928,351272960
1574467929,351272960
1574467930,351272960
1574467931,351272960
1574467932,351272960
1574467933,351272960
1574467934,351272960
1574467935,351272960
1574467936,351272960
1574467937,351272960
1574467938,351272960
1574467939,351272960
1574467940,351272960
1574467941,351272960
1574467942,351272960
1574467943,351272960
1574467944,351272960
1574467945,351272960
1574467946,351272960
1574467947,351272960
1574467948,351272960
1574467949,351272960
1574467950,351272960
1574467951,351272960
1574467952,351272960
1574467953,351272960
1574467954,351272960
1574467955,351272960
1574467956,351272960
1574467957,351272960
1574467958,351272960
1574467959,351272960
1574467960,351272960
1574467961,351272960
1574467962,351272960
1574467963,351272960
1574467964,351272960
1574467965,351272960
1574467966,351272960
1574467967,351272960
1574467968,351272960
1574467969,351272960
1574467970,351272960
1574467971,351272960
1574467972,351272960
1574467973,351272960
1574467974,351272960
1574467975,351272960
1574467976,351272960
1574467977,351272960
1574467978,351272960
1574467979,351272960
1574467980,351272960
1574467981,351272960
1574467982,351272960
1574467983,351272960
1574467984,351272960
1574467985,351272960
1574467986,351272960
1574467987,351272960
1574467988,351272960
1574467989,351272960
1574467990,351272960
1574467991,351272960
1574467992,351272960
1574467993,351272960
1574467994,351272960
1574467995,351272960
1574467996,351272960
1574467997,351272960
1574467998,351272960
1574467999,351272960
1574468000,351272960
1574468001,351272960
1574468002,351272960
1574468003,351272960
1574468004,351272960
1574468005,351272960
1574468006,351272960
1574468007,351272960
1574468008,351272960
1574468009,351272960
1574468010,351272960
1574468011,351272960
1574468012,351272960
1574468013,351272960
1574468014,351272960
1574468015,351272960
1574468016,351272960
1574468017,351272960
1574468018,351272960
1574468019,351272960
1574468020,351272960
1574468021,351272960
1574468022,351272960
1574468023,351272960
1574468024,351272960
1574468025,351272960
1574468026,351272960
1574468027,351272960
1574468028,351272960
1574468029,351272960
1574468030,351272960
1574468031,351272960
1574468032,351272960
1574468033,351272960
1574468034,351272960
1574468035,351272960
1574468036,351272960
1574468037,351272960
1574468038,351272960
1574468039,351272960
1574468040,351272960
1574468041,351272960
1574468042,351272960
1574468043,351272960
1574468044,351272960
1574468045,351272960
1574468046,351272960
1574468047,351272960
1574468048,351272960
1574468049,351272960
1574468050,351272960
1574468051,351272960
1574468052,351272960
1574468053,351272960
1574468054,351272960
1574468055,351272960
